source,target,length,type,speed,bidirectional
4169,4168,12.84,unclassified,50,1
4168,4328,5.25,unclassified,50,1
4328,4167,6.24,unclassified,50,1
4167,4166,16.32,unclassified,50,1
4166,4165,10.94,unclassified,50,1
4165,4164,13.85,unclassified,50,1
4164,4163,26.74,unclassified,50,1
4163,4162,17.15,unclassified,50,1
4162,4161,5.6,unclassified,50,1
4161,4172,6.85,unclassified,50,1
1826,1827,49.23,primary,30,1
4174,3626,24.85,primary,40,1
3626,1805,74.44,primary,40,1
4177,4176,22.35,service,10,0
4176,832,7.87,service,10,0
1806,1826,26.68,primary,100,1
3625,1826,31.03,residential,30,1
4181,4255,9.24,service,10,1
4255,4182,85.09,service,10,1
4182,4183,17.57,service,10,1
4183,4184,19.19,service,10,1
4185,4186,80.4,service,10,1
4187,4188,15.11,service,10,1
4211,2770,63.82,service,10,1
2770,4210,84.11,service,10,1
4214,831,64.29,service,10,1
831,4209,21.55,service,10,1
4209,4212,62.17,service,10,1
4228,4223,42.61,service,10,1
4223,4214,42.69,service,10,1
4214,4215,41.19,service,10,1
4215,4216,39.48,service,10,1
4216,4217,40.39,service,10,1
4217,4221,75.07,service,10,1
4221,4220,39.85,service,10,1
4220,4218,15.02,service,10,1
4218,4251,38.95,service,10,1
4251,4219,12.14,service,10,1
4225,4224,67.56,service,10,1
3771,3816,9.4,residential,30,1
3816,4014,96.05,residential,30,1
4014,3772,9.59,residential,30,1
3772,4007,50.51,residential,30,1
4007,4244,52.48,residential,30,1
4244,3821,11.12,residential,30,1
4238,4240,118.32,residential,30,0
4240,4239,35.99,residential,30,0
1207,4275,10.51,service,10,1
4275,4274,3.76,service,10,1
4274,4273,142.91,service,10,1
4273,4272,5.62,service,10,1
4272,4271,5.77,service,10,1
4271,4266,7.8,service,10,1
4266,4265,32.67,service,10,1
4265,4270,8.30,service,10,1
4270,4269,4.76,service,10,1
4269,4268,5.04,service,10,1
4268,4267,151.87,service,10,1
4286,4285,12.04,service,10,1
4285,4280,122.76,service,10,1
4280,4284,2.51,service,10,1
4284,4281,2.14,service,10,1
4281,4282,2.19,service,10,1
4282,4283,7.21,service,10,1
563,3154,42.43,secondary,100,0
3154,567,91.52,secondary,100,0
2547,2352,68.57,secondary,100,1
2352,2354,10.23,secondary,100,1
2354,2353,7.24,secondary,100,1
2353,2358,5.77,secondary,100,1
2358,149,52.17,secondary,100,1
149,2241,14.79,secondary,100,1
2241,2546,27.21,secondary,100,1
2546,4298,27.86,secondary,100,1
4298,4348,65.86,secondary,100,1
4348,1788,108.4,secondary,100,1
1788,2238,207.71,secondary,100,1
150,1074,17.19,residential,30,1
1074,2213,63.82,residential,30,1
2213,2243,48.49,residential,30,1
2243,4363,8.93,residential,30,1
4363,1073,40.46,residential,30,1
1073,2688,47.81,residential,30,1
2688,1660,34.78,residential,30,1
1660,257,15.3,residential,30,1
257,1658,67.61,residential,30,1
1658,1077,29.01,residential,30,1
1077,1646,29.93,residential,30,1
1646,1782,110.45,residential,30,1
1782,2233,53.08,residential,30,1
2233,2224,42.22,residential,30,1
2224,2235,11.41,residential,30,1
2235,2216,5.35,residential,30,1
2216,3094,14.04,residential,30,1
3094,2242,14.23,residential,30,1
2242,2239,35.33,residential,30,1
2239,2217,30.31,residential,30,1
2217,2236,10.43,residential,30,1
2236,2215,8.9,residential,30,1
2215,2214,9.43,residential,30,1
2387,2383,6.96,tertiary,70,1
2383,2384,10.69,tertiary,70,1
2384,3029,64.44,tertiary,70,1
3029,1097,60.95,tertiary,70,1
1097,1095,41.96,tertiary,70,1
1095,1100,12.63,tertiary,70,1
1100,1303,13.3,tertiary,70,1
1303,1105,12.32,tertiary,70,1
1105,1110,11.81,tertiary,70,1
1110,3490,72.83,tertiary,70,1
3490,1115,12.07,tertiary,70,1
1115,3491,13.28,tertiary,70,1
3491,3492,13.46,tertiary,70,1
3492,4198,15.37,tertiary,70,1
4198,4206,16.2,tertiary,70,1
4206,3493,20.81,tertiary,70,1
3493,4231,16.89,tertiary,70,1
4231,3494,16.13,tertiary,70,1
3494,3495,16.4,tertiary,70,1
3495,4256,15.25,tertiary,70,1
4256,1148,17.17,tertiary,70,1
1148,1147,46.31,tertiary,70,1
1147,3496,15.96,tertiary,70,1
3496,3497,12.1,tertiary,70,1
3497,3498,8.79,tertiary,70,1
3498,1150,8.41,tertiary,70,1
1150,3499,8.96,tertiary,70,1
3499,3500,9.8,tertiary,70,1
3500,3501,9.99,tertiary,70,1
3501,1152,9.93,tertiary,70,1
1152,3503,9.99,tertiary,70,1
3503,3502,8.64,tertiary,70,1
3502,1157,8.17,tertiary,70,1
1157,2393,168.31,tertiary,70,1
2393,2390,249.73,tertiary,70,1
2390,2392,14.91,tertiary,70,1
1157,1167,57.92,tertiary,70,1
1167,1172,12.43,tertiary,70,1
1172,1177,10.16,tertiary,70,1
1177,3481,40.38,tertiary,70,1
3481,3480,79.86,tertiary,70,1
3480,1182,76.0,tertiary,70,1
1182,1187,12.12,tertiary,70,1
1187,4286,109.03,tertiary,70,1
4286,4283,128.19,tertiary,70,1
